"Date","Time","Open","High","Low","Close","Up","Down","Volume"
01/02/2025,10:45,5903.51,5907.82,5902.50,5902.61,7816,7888,15704.00
01/02/2025,10:50,5902.72,5909.47,5902.17,5909.28,9604,6775,16379.00
01/02/2025,10:55,5909.24,5911.30,5898.11,5900.77,8657,9723,18380.00
01/02/2025,11:00,5900.95,5904.25,5900.71,5902.40,6342,7171,13513.00
01/02/2025,11:05,5902.39,5905.39,5898.68,5905.39,8250,5922,14172.00
01/02/2025,11:10,5905.77,5905.77,5897.14,5898.82,6897,8338,15235.00
01/02/2025,11:15,5898.84,5909.71,5898.61,5907.16,10309,6577,16886.00
01/02/2025,11:20,5907.18,5907.18,5898.47,5900.05,5818,8287,14105.00
01/02/2025,11:25,5900.03,5900.09,5887.22,5887.81,12217,10250,22467.00
01/02/2025,11:30,5887.93,5887.93,5867.35,5868.51,10340,13627,23967.00
01/02/2025,11:35,5868.56,5868.56,5858.39,5860.07,12286,10700,22986.00
01/02/2025,11:40,5860.17,5860.92,5846.03,5846.64,12331,10784,23115.00
01/02/2025,11:45,5846.66,5850.49,5839.30,5845.18,12184,9225,21409.00
01/02/2025,11:50,5845.29,5847.13,5838.85,5838.89,8560,8794,17354.00
01/02/2025,11:55,5837.52,5850.13,5834.28,5846.01,9427,8664,18091.00
01/02/2025,12:00,5846.09,5854.98,5845.79,5852.67,9452,5746,15198.00
01/02/2025,12:05,5852.78,5852.78,5837.45,5838.46,6869,12812,19681.00
01/02/2025,12:10,5838.66,5853.35,5838.54,5850.49,9123,7184,16307.00
01/02/2025,12:15,5850.61,5850.61,5839.30,5840.77,6861,7550,14411.00
01/02/2025,12:20,5840.53,5842.75,5835.04,5842.05,6391,11621,18012.00
01/02/2025,12:25,5842.11,5848.24,5840.64,5842.67,8506,7469,15975.00
01/02/2025,12:30,5842.56,5846.53,5839.40,5846.50,7340,5764,13104.00
01/02/2025,12:35,5846.58,5846.58,5831.80,5832.95,7320,11847,19167.00
01/02/2025,12:40,5832.79,5842.48,5832.06,5837.65,8172,7292,15464.00
01/02/2025,12:45,5837.57,5846.02,5833.43,5846.01,10159,9130,19289.00
01/02/2025,12:50,5846.05,5846.05,5834.54,5836.33,6143,8002,14145.00
01/02/2025,12:55,5836.20,5836.93,5829.53,5830.59,6677,6995,13672.00
01/02/2025,13:00,5830.47,5842.18,5830.47,5841.84,8781,6322,15103.00
01/02/2025,13:05,5841.84,5848.21,5838.01,5847.85,9642,6413,16055.00
01/02/2025,13:10,5847.85,5853.22,5843.90,5846.69,7907,8593,16500.00
01/02/2025,13:15,5846.86,5848.67,5844.06,5844.42,8140,5266,13406.00
01/02/2025,13:20,5844.44,5849.14,5843.09,5847.23,7422,6753,14175.00
01/02/2025,13:25,5847.21,5853.88,5846.46,5853.82,8216,6569,14785.00
01/02/2025,13:30,5853.88,5857.89,5852.92,5856.21,8084,7603,15687.00
01/02/2025,13:35,5856.23,5856.23,5849.86,5851.33,8714,7637,16351.00
01/02/2025,13:40,5851.36,5851.86,5845.37,5850.57,7205,7490,14695.00
01/02/2025,13:45,5850.39,5854.64,5849.93,5850.79,6451,6030,12481.00
01/02/2025,13:50,5850.94,5860.34,5845.73,5857.19,11091,8392,19483.00
01/02/2025,13:55,5857.30,5862.18,5855.62,5859.17,7508,8472,15980.00
01/02/2025,14:00,5859.17,5859.17,5844.31,5844.89,6738,10314,17052.00
01/02/2025,14:05,5844.77,5861.29,5844.77,5860.66,10944,4981,15925.00
