Date,Time,Symbol,Source (Live/Historical),Market (Pre-Market/In-Market),is_premarket (DB),source (DB)
2026-06-16,11:00,SPX,Historical,In-Market,0,histgex
2026-06-16,11:30,SPX,Historical,In-Market,0,histgex
2026-06-16,12:00,SPX,Historical,In-Market,0,histgex
2026-06-16,12:30,SPX,Historical,In-Market,0,histgex
2026-06-16,13:00,SPX,Historical,In-Market,0,histgex
2026-06-16,13:30,SPX,Historical,In-Market,0,histgex
2026-06-16,14:00,SPX,Historical,In-Market,0,histgex
2026-06-16,14:30,SPX,Historical,In-Market,0,histgex
2026-06-16,15:00,SPX,Historical,In-Market,0,histgex
2026-06-16,15:30,SPX,Historical,In-Market,0,histgex
2026-06-15,09:30,SPX,Historical,In-Market,0,histgex
2026-06-15,10:00,SPX,Historical,In-Market,0,histgex
2026-06-15,10:30,SPX,Historical,In-Market,0,histgex
2026-06-15,11:00,SPX,Historical,In-Market,0,histgex
2026-06-15,11:30,SPX,Historical,In-Market,0,histgex
2026-06-15,12:00,SPX,Historical,In-Market,0,histgex
2026-06-15,12:30,SPX,Historical,In-Market,0,histgex
2026-06-15,13:00,SPX,Historical,In-Market,0,histgex
2026-06-15,13:30,SPX,Historical,In-Market,0,histgex
2026-06-15,14:00,SPX,Historical,In-Market,0,histgex
2026-06-15,14:30,SPX,Historical,In-Market,0,histgex
2026-06-15,15:00,SPX,Historical,In-Market,0,histgex
2026-06-15,15:30,SPX,Historical,In-Market,0,histgex
2026-06-12,09:30,SPX,Historical,In-Market,0,histgex
2026-06-12,10:00,SPX,Historical,In-Market,0,histgex
2026-06-12,10:30,SPX,Historical,In-Market,0,histgex
2026-06-12,11:00,SPX,Historical,In-Market,0,histgex
2026-06-12,11:30,SPX,Historical,In-Market,0,histgex
2026-06-12,12:00,SPX,Historical,In-Market,0,histgex
2026-06-12,12:30,SPX,Historical,In-Market,0,histgex
2026-06-12,13:00,SPX,Historical,In-Market,0,histgex
2026-06-12,13:30,SPX,Historical,In-Market,0,histgex
2026-06-12,14:00,SPX,Historical,In-Market,0,histgex
2026-06-12,14:30,SPX,Historical,In-Market,0,histgex
2026-06-12,15:00,SPX,Historical,In-Market,0,histgex
2026-06-12,15:30,SPX,Historical,In-Market,0,histgex
2026-06-11,09:30,SPX,Historical,In-Market,0,histgex
2026-06-11,10:00,SPX,Historical,In-Market,0,histgex
2026-06-11,10:30,SPX,Historical,In-Market,0,histgex
2026-06-11,11:00,SPX,Historical,In-Market,0,histgex
2026-06-11,11:30,SPX,Historical,In-Market,0,histgex
2026-06-11,12:00,SPX,Historical,In-Market,0,histgex
2026-06-11,12:30,SPX,Historical,In-Market,0,histgex
2026-06-11,13:00,SPX,Historical,In-Market,0,histgex
2026-06-11,13:30,SPX,Historical,In-Market,0,histgex
2026-06-11,14:00,SPX,Historical,In-Market,0,histgex
2026-06-11,14:30,SPX,Historical,In-Market,0,histgex
2026-06-11,15:00,SPX,Historical,In-Market,0,histgex
2026-06-11,15:30,SPX,Historical,In-Market,0,histgex
2026-06-10,09:30,SPX,Historical,In-Market,0,histgex
2026-06-10,10:00,SPX,Historical,In-Market,0,histgex
2026-06-10,10:30,SPX,Historical,In-Market,0,histgex
2026-06-10,11:00,SPX,Historical,In-Market,0,histgex
2026-06-10,11:30,SPX,Historical,In-Market,0,histgex
2026-06-10,12:00,SPX,Historical,In-Market,0,histgex
2026-06-10,12:30,SPX,Historical,In-Market,0,histgex
2026-06-10,13:00,SPX,Historical,In-Market,0,histgex
2026-06-10,13:30,SPX,Historical,In-Market,0,histgex
2026-06-10,14:00,SPX,Historical,In-Market,0,histgex
2026-06-10,14:30,SPX,Historical,In-Market,0,histgex
2026-06-10,15:00,SPX,Historical,In-Market,0,histgex
2026-06-10,15:30,SPX,Historical,In-Market,0,histgex
2026-06-09,09:30,SPX,Historical,In-Market,0,histgex
2026-06-09,10:00,SPX,Historical,In-Market,0,histgex
2026-06-09,10:30,SPX,Historical,In-Market,0,histgex
2026-06-09,11:00,SPX,Historical,In-Market,0,histgex
2026-06-09,11:30,SPX,Historical,In-Market,0,histgex
2026-06-09,12:00,SPX,Historical,In-Market,0,histgex
2026-06-09,12:30,SPX,Historical,In-Market,0,histgex
2026-06-09,13:00,SPX,Historical,In-Market,0,histgex
2026-06-09,13:30,SPX,Historical,In-Market,0,histgex
2026-06-09,14:00,SPX,Historical,In-Market,0,histgex
2026-06-09,14:30,SPX,Historical,In-Market,0,histgex
2026-06-09,15:00,SPX,Historical,In-Market,0,histgex
2026-06-09,15:30,SPX,Historical,In-Market,0,histgex
2026-06-08,09:30,SPX,Historical,In-Market,0,histgex
2026-06-08,10:00,SPX,Historical,In-Market,0,histgex
2026-06-08,10:30,SPX,Historical,In-Market,0,histgex
2026-06-08,11:00,SPX,Historical,In-Market,0,histgex
2026-06-08,11:30,SPX,Historical,In-Market,0,histgex
2026-06-08,12:00,SPX,Historical,In-Market,0,histgex
2026-06-08,12:30,SPX,Historical,In-Market,0,histgex
2026-06-08,13:00,SPX,Historical,In-Market,0,histgex
2026-06-08,13:30,SPX,Historical,In-Market,0,histgex
2026-06-08,14:00,SPX,Historical,In-Market,0,histgex
2026-06-08,14:30,SPX,Historical,In-Market,0,histgex
2026-06-08,15:00,SPX,Historical,In-Market,0,histgex
2026-06-08,15:30,SPX,Historical,In-Market,0,histgex
2026-06-05,09:30,SPX,Historical,In-Market,0,histgex
2026-06-05,10:00,SPX,Historical,In-Market,0,histgex
2026-06-05,10:30,SPX,Historical,In-Market,0,histgex
2026-06-05,11:00,SPX,Historical,In-Market,0,histgex
2026-06-05,11:30,SPX,Historical,In-Market,0,histgex
2026-06-05,12:00,SPX,Historical,In-Market,0,histgex
2026-06-05,12:30,SPX,Historical,In-Market,0,histgex
2026-06-05,13:00,SPX,Historical,In-Market,0,histgex
2026-06-05,13:30,SPX,Historical,In-Market,0,histgex
2026-06-05,14:00,SPX,Historical,In-Market,0,histgex
2026-06-05,14:30,SPX,Historical,In-Market,0,histgex
2026-06-05,15:00,SPX,Historical,In-Market,0,histgex
2026-06-05,15:30,SPX,Historical,In-Market,0,histgex
2026-06-04,09:30,SPX,Historical,In-Market,0,histgex
2026-06-04,10:00,SPX,Historical,In-Market,0,histgex
2026-06-04,10:30,SPX,Historical,In-Market,0,histgex
2026-06-04,11:00,SPX,Historical,In-Market,0,histgex
2026-06-04,11:30,SPX,Historical,In-Market,0,histgex
2026-06-04,12:00,SPX,Historical,In-Market,0,histgex
2026-06-04,12:30,SPX,Historical,In-Market,0,histgex
2026-06-04,13:00,SPX,Historical,In-Market,0,histgex
2026-06-04,13:30,SPX,Historical,In-Market,0,histgex
2026-06-04,14:00,SPX,Historical,In-Market,0,histgex
2026-06-04,14:30,SPX,Historical,In-Market,0,histgex
2026-06-04,15:00,SPX,Historical,In-Market,0,histgex
2026-06-04,15:30,SPX,Historical,In-Market,0,histgex
2026-06-03,09:30,SPX,Historical,In-Market,0,histgex
2026-06-03,10:00,SPX,Historical,In-Market,0,histgex
2026-06-03,10:30,SPX,Historical,In-Market,0,histgex
2026-06-03,11:00,SPX,Historical,In-Market,0,histgex
2026-06-03,11:30,SPX,Historical,In-Market,0,histgex
2026-06-03,12:00,SPX,Historical,In-Market,0,histgex
2026-06-03,12:30,SPX,Historical,In-Market,0,histgex
